[(1/2, 0, 1/2, 12), (0, 1/34, 5/17, 35/34), (0, 0, 1, 7), (0, 0, 0, 17)]
[(1/2, 0, 1/2, 6), (0, 1/32, 3/8, 431/32), (0, 0, 1, 12), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 1), (0, 1/22, 7/11, 125/22), (0, 0, 1, 2), (0, 0, 0, 11)]
[(1/2, 0, 1/2, 4), (0, 1/36, 7/9, 361/36), (0, 0, 1, 8), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 14), (0, 1/44, 10/11, 129/44), (0, 0, 1, 6), (0, 0, 0, 22)]
[(1/2, 0, 1/2, 6), (0, 1/28, 4/7, 1/28), (0, 0, 1, 12), (0, 0, 0, 14)]
[(1/2, 0, 1/2, 3), (0, 1/10, 2/5, 11/10), (0, 0, 1, 1), (0, 0, 0, 5)]
[(1/2, 0, 1/2, 16), (0, 1/36, 5/9, 113/36), (0, 0, 1, 14), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 2), (0, 1/12, 1/3, 47/12), (0, 0, 1, 4), (0, 0, 0, 6)]
[(1/2, 0, 1/2, 9), (0, 1/38, 17/19, 129/38), (0, 0, 1, 18), (0, 0, 0, 19)]
[(1/2, 0, 1/2, 10), (0, 1/32, 5/8, 47/32), (0, 0, 1, 4), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 10), (0, 1/36, 1/9, 295/36), (0, 0, 1, 2), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 6), (0, 1/14, 1/7, 29/14), (0, 0, 1, 5), (0, 0, 0, 7)]
[(1/2, 0, 1/2, 8), (0, 1/30, 13/15, 19/30), (0, 0, 1, 1), (0, 0, 0, 15)]
[(1/2, 0, 1/2, 8), (0, 1/20, 1/5, 161/20), (0, 0, 1, 6), (0, 0, 0, 10)]
[(1/2, 0, 1/2, 8), (0, 1/20, 1/5, 111/20), (0, 0, 1, 6), (0, 0, 0, 10)]
[(1/2, 0, 1/2, 4), (0, 1/12, 2/3, 17/12), (0, 0, 1, 2), (0, 0, 0, 6)]
[(1/2, 0, 1/2, 6), (0, 1/34, 9/17, 75/34), (0, 0, 1, 12), (0, 0, 0, 17)]
[(1/2, 0, 1/2, 6), (0, 1/28, 4/7, 295/28), (0, 0, 1, 12), (0, 0, 0, 14)]
[(1/2, 0, 1/2, 14), (0, 1/36, 7/9, 287/36), (0, 0, 1, 10), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 4), (0, 1/18, 5/9, 55/18), (0, 0, 1, 8), (0, 0, 0, 9)]
[(1/2, 0, 1/2, 2), (0, 1/24, 5/6, 175/24), (0, 0, 1, 4), (0, 0, 0, 12)]
[(1/2, 0, 1/2, 1), (0, 1/6, 1/3, 5/6), (0, 0, 1, 2), (0, 0, 0, 3)]
[(1/2, 0, 1/2, 11), (0, 1/26, 5/13, 35/26), (0, 0, 1, 9), (0, 0, 0, 13)]
[(1/2, 0, 1/2, 2), (0, 1/20, 1/5, 39/20), (0, 0, 1, 4), (0, 0, 0, 10)]
[(1/2, 0, 1/2, 2), (0, 1/14, 4/7, 61/14), (0, 0, 1, 4), (0, 0, 0, 7)]
[(1/2, 0, 1/2, 8), (0, 1/36, 8/9, 223/36), (0, 0, 1, 16), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 14), (0, 1/36, 2/9, 559/36), (0, 0, 1, 10), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 7), (0, 1/30, 2/15, 439/30), (0, 0, 1, 14), (0, 0, 0, 15)]
[(1/2, 0, 1/2, 8), (0, 1/34, 6/17, 573/34), (0, 0, 1, 16), (0, 0, 0, 17)]
[(1/2, 0, 1/2, 12), (0, 1/28, 5/7, 47/28), (0, 0, 1, 10), (0, 0, 0, 14)]
[(1/2, 0, 1/2, 12), (0, 1/28, 5/7, 145/28), (0, 0, 1, 10), (0, 0, 0, 14)]
[(1/2, 0, 1/2, 12), (0, 1/32, 1/4, 473/32), (0, 0, 1, 8), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 15), (0, 1/38, 8/19, 325/38), (0, 0, 1, 11), (0, 0, 0, 19)]
[(1/2, 0, 1/2, 2), (0, 1/10, 2/5, 39/10), (0, 0, 1, 4), (0, 0, 0, 5)]
[(1/2, 0, 1/2, 2), (0, 1/32, 7/8, 273/32), (0, 0, 1, 4), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 18), (0, 1/40, 1/10, 111/40), (0, 0, 1, 16), (0, 0, 0, 20)]
[(1/2, 0, 1/2, 4), (0, 1/36, 2/9, 89/36), (0, 0, 1, 8), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 2), (0, 1/36, 4/9, 257/36), (0, 0, 1, 4), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 5), (0, 1/34, 5/17, 543/34), (0, 0, 1, 10), (0, 0, 0, 17)]
[(1/2, 0, 1/2, 5), (0, 1/14, 3/7, 5/14), (0, 0, 1, 3), (0, 0, 0, 7)]
[(1/2, 0, 1/2, 4), (0, 1/38, 8/19, 397/38), (0, 0, 1, 8), (0, 0, 0, 19)]
