[(1/2, 0, 3/2, 8), (0, 1/66, 20/33, 201/22), (0, 0, 3, 5), (0, 0, 0, 11)]
[(1/2, 0, 1/2, 10), (0, 1/56, 1/14, 277/56), (0, 0, 1, 20), (0, 0, 0, 28)]
[(1/2, 0, 1/2, 3), (0, 1/18, 2/3, 157/18), (0, 0, 1, 6), (0, 0, 0, 9)]
[(1/2, 0, 1/2, 6), (0, 1/68, 13/17, 1163/68), (0, 0, 1, 12), (0, 0, 0, 34)]
[(1/2, 0, 1/2, 10), (0, 1/52, 6/13, 797/52), (0, 0, 1, 20), (0, 0, 0, 26)]
[(1/2, 0, 1/2, 6), (0, 1/64, 15/16, 651/64), (0, 0, 1, 12), (0, 0, 0, 32)]
[(1/2, 0, 1/2, 2), (0, 1/16, 3/4, 53/16), (0, 0, 1, 4), (0, 0, 0, 8)]
[(1/2, 0, 1/2, 3), (0, 1/62, 3/31, 247/62), (0, 0, 1, 6), (0, 0, 0, 31)]
[(1/2, 0, 1/2, 10), (0, 1/70, 6/7, 1397/70), (0, 0, 1, 20), (0, 0, 0, 35)]
[(1/2, 0, 1/2, 9), (0, 1/54, 2/3, 823/54), (0, 0, 1, 18), (0, 0, 0, 27)]
[(1/2, 0, 3/2, 4), (0, 1/36, 19/9, 31/12), (0, 0, 3, 2), (0, 0, 0, 6)]
[(1/2, 0, 1/2, 5), (0, 1/34, 12/17, 511/34), (0, 0, 1, 10), (0, 0, 0, 17)]
[(1/2, 0, 1/2, 1), (0, 1/58, 25/29, 1251/58), (0, 0, 1, 2), (0, 0, 0, 29)]
[(1/2, 0, 5/2, 0), (0, 1/40, 9/5, 25/8), (0, 0, 5, 0), (0, 0, 0, 4)]
[(1/2, 0, 1/2, 26), (0, 1/68, 3/17, 957/68), (0, 0, 1, 18), (0, 0, 0, 34)]
[(1/2, 0, 3/2, 2), (0, 1/36, 8/9, 7/12), (0, 0, 3, 4), (0, 0, 0, 6)]
[(1/2, 0, 1/2, 28), (0, 1/62, 3/31, 1675/62), (0, 0, 1, 25), (0, 0, 0, 31)]
[(1/2, 0, 5/2, 4), (0, 1/50, 14/25, 29/10), (0, 0, 5, 3), (0, 0, 0, 5)]
[(1/2, 0, 9/2, 1), (0, 1/54, 47/27, 13/6), (0, 0, 9, 2), (0, 0, 0, 3)]
[(1/2, 0, 5/2, 0), (0, 1/30, 13/5, 17/6), (0, 0, 5, 0), (0, 0, 0, 3)]
[(1/2, 0, 1/2, 10), (0, 1/44, 10/11, 845/44), (0, 0, 1, 20), (0, 0, 0, 22)]
[(1/2, 0, 1/2, 2), (0, 1/62, 4/31, 1331/62), (0, 0, 1, 4), (0, 0, 0, 31)]
[(1/2, 0, 1/2, 4), (0, 1/62, 30/31, 411/62), (0, 0, 1, 8), (0, 0, 0, 31)]
[(1/2, 0, 1/2, 9), (0, 1/38, 2/19, 631/38), (0, 0, 1, 18), (0, 0, 0, 19)]
[(1/2, 0, 1/2, 12), (0, 1/36, 1/3, 157/36), (0, 0, 1, 6), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 18), (0, 1/48, 1/4, 949/48), (0, 0, 1, 12), (0, 0, 0, 24)]
[(1/2, 0, 1/2, 24), (0, 1/62, 10/31, 1423/62), (0, 0, 1, 17), (0, 0, 0, 31)]
[(1/2, 0, 1/2, 20), (0, 1/50, 2/5, 597/50), (0, 0, 1, 15), (0, 0, 0, 25)]
[(1/2, 0, 1/2, 18), (0, 1/56, 1/14, 213/56), (0, 0, 1, 8), (0, 0, 0, 28)]
[(1/2, 0, 1/2, 6), (0, 1/48, 3/4, 1013/48), (0, 0, 1, 12), (0, 0, 0, 24)]
[(1/2, 0, 1/2, 6), (0, 1/26, 10/13, 241/26), (0, 0, 1, 12), (0, 0, 0, 13)]
[(1/2, 0, 3/2, 3), (0, 1/66, 79/33, 91/22), (0, 0, 3, 6), (0, 0, 0, 11)]
[(1/2, 0, 1/2, 24), (0, 1/56, 4/7, 739/56), (0, 0, 1, 20), (0, 0, 0, 28)]
[(1/2, 0, 1/2, 26), (0, 1/64, 15/16, 1397/64), (0, 0, 1, 20), (0, 0, 0, 32)]
[(1/2, 0, 1/2, 24), (0, 1/54, 5/9, 707/54), (0, 0, 1, 21), (0, 0, 0, 27)]
[(1/2, 0, 1/2, 8), (0, 1/38, 12/19, 103/38), (0, 0, 1, 16), (0, 0, 0, 19)]
[(1/2, 0, 1/2, 4), (0, 1/64, 5/8, 483/64), (0, 0, 1, 8), (0, 0, 0, 32)]
[(1/2, 0, 1/2, 6), (0, 1/36, 1/3, 5/36), (0, 0, 1, 12), (0, 0, 0, 18)]
[(1/2, 0, 11/2, 0), (0, 1/44, 42/11, 1/4), (0, 0, 11, 0), (0, 0, 0, 2)]
[(1/2, 0, 1/2, 4), (0, 1/56, 4/7, 1123/56), (0, 0, 1, 8), (0, 0, 0, 28)]
