[(1/2, 0, 6, 1/2), (0, 1/552, 77/24, 13/46), (0, 0, 12, 0), (0, 0, 0, 1)]
[(1/2, 1/2806, 26/61, 24458/1403), (0, 1/1403, 43/122, 57145/2806), (0, 0, 1/2, 29/2), (0, 0, 0, 61)]
[(1/2, 0, 0, 7/2), (0, 1/1288, 187/56, 54/161), (0, 0, 4, 3), (0, 0, 0, 7)]
[(1/2, 1/1978, 8/43, 40604/989), (0, 1/989, 16/43, 38681/989), (0, 0, 1/2, 71/2), (0, 0, 0, 43)]
[(1/2, 1/1426, 3/31, 25907/713), (0, 1/713, 6/31, 7608/713), (0, 0, 1/4, 21/4), (0, 0, 0, 62)]
[(1/2, 1/598, 3/52, 23519/1196), (0, 1/299, 3/26, 7971/598), (0, 0, 1/4, 83/4), (0, 0, 0, 26)]
[(1/2, 1/2714, 18/59, 59142/1357), (0, 1/1357, 13/118, 137507/2714), (0, 0, 1/2, 73/2), (0, 0, 0, 59)]
[(1/2, 1/1334, 6/29, 7001/667), (0, 1/667, 12/29, 14002/667), (0, 0, 1/2, 43/2), (0, 0, 0, 29)]
[(1/2, 0, 0, 5/2), (0, 1/460, 7/4, 39/115), (0, 0, 2, 0), (0, 0, 0, 5)]
[(1/2, 1/1058, 7/92, 61469/2116), (0, 1/529, 7/46, 12801/1058), (0, 0, 1/4, 141/4), (0, 0, 0, 46)]
[(1/2, 1/1702, 13/37, 423/851), (0, 1/851, 15/74, 16159/1702), (0, 0, 1/2, 57/2), (0, 0, 0, 37)]
[(1/2, 0, 0, 7/2), (0, 1/966, 59/42, 785/161), (0, 0, 3, 2), (0, 0, 0, 7)]
[(1/2, 1/1058, 9/46, 25801/1058), (0, 1/529, 13/92, 49/2116), (0, 0, 1/4, 11/4), (0, 0, 0, 46)]
[(1/2, 1/966, 31/42, 2053/322), (0, 1/483, 31/21, 926/161), (0, 0, 3/2, 9/2), (0, 0, 0, 7)]
[(1/2, 0, 0, 23/2), (0, 1/1058, 27/46, 8726/529), (0, 0, 1, 10), (0, 0, 0, 23)]
[(1/2, 0, 2, 1/2), (0, 1/368, 51/16, 85/92), (0, 0, 4, 1), (0, 0, 0, 2)]
[(1/2, 1/2162, 35/94, 51837/2162), (0, 1/1081, 23/94, 5303/2162), (0, 0, 1/2, 91/2), (0, 0, 0, 47)]
[(1/2, 1/690, 1/60, 4313/460), (0, 1/345, 1/30, 2013/230), (0, 0, 3/4, 23/4), (0, 0, 0, 10)]
[(1/2, 1/1610, 16/35, 5414/805), (0, 1/805, 29/70, 12801/1610), (0, 0, 1/2, 11/2), (0, 0, 0, 35)]
[(1/2, 0, 1/8, 19/8), (0, 1/506, 1/88, 74661/2024), (0, 0, 1/4, 19/4), (0, 0, 0, 44)]
[(1/2, 1/2898, 95/126, 347/322), (0, 1/1449, 95/63, 347/161), (0, 0, 9/2, 13/2), (0, 0, 0, 7)]
[(1/2, 1/690, 7/12, 771/460), (0, 1/345, 5/12, 4417/460), (0, 0, 3/4, 15/4), (0, 0, 0, 10)]
[(1/2, 1/874, 5/38, 28515/874), (0, 1/437, 1/76, 3499/1748), (0, 0, 1/4, 101/4), (0, 0, 0, 38)]
[(1/2, 1/1610, 1/14, 19269/1610), (0, 1/805, 1/7, 19269/805), (0, 0, 1/2, 55/2), (0, 0, 0, 35)]
[(1/2, 1/2438, 2/53, 23170/1219), (0, 1/1219, 4/53, 46340/1219), (0, 0, 1/2, 41/2), (0, 0, 0, 53)]
[(1/2, 1/1426, 2/31, 18087/713), (0, 1/713, 4/31, 14071/713), (0, 0, 1/2, 53/2), (0, 0, 0, 31)]
[(1/2, 1/598, 4/13, 423/299), (0, 1/299, 3/26, 197/598), (0, 0, 1/2, 5/2), (0, 0, 0, 13)]
[(1/2, 1/966, 2/21, 624/161), (0, 1/483, 4/21, 1248/161), (0, 0, 3/4, 47/4), (0, 0, 0, 14)]
[(1/2, 1/690, 16/15, 463/115), (0, 1/345, 19/30, 357/230), (0, 0, 3/2, 3/2), (0, 0, 0, 5)]
[(1/2, 0, 3/8, 7/8), (0, 1/276, 7/48, 2623/368), (0, 0, 3/4, 7/4), (0, 0, 0, 8)]
[(1/2, 1/1426, 17/124, 122925/2852), (0, 1/713, 3/124, 32663/2852), (0, 0, 1/4, 51/4), (0, 0, 0, 62)]
[(1/2, 1/2438, 13/106, 92179/2438), (0, 1/1219, 13/53, 27572/1219), (0, 0, 1/2, 21/2), (0, 0, 0, 53)]
[(1/2, 1/1150, 0, 16178/575), (0, 1/575, 0, 3606/575), (0, 0, 1/4, 125/4), (0, 0, 0, 50)]
[(1/2, 0, 1/8, 275/8), (0, 1/460, 3/16, 63851/1840), (0, 0, 1/4, 115/4), (0, 0, 0, 40)]
[(1/2, 1/1058, 3/46, 24789/1058), (0, 1/529, 3/23, 455/529), (0, 0, 1/4, 157/4), (0, 0, 0, 46)]
[(1/2, 1/690, 11/15, 233/115), (0, 1/345, 43/60, 2669/460), (0, 0, 3/4, 33/4), (0, 0, 0, 10)]
[(1/2, 0, 6, 1/2), (0, 1/552, 13/24, 13/46), (0, 0, 12, 0), (0, 0, 0, 1)]
